doi,title_cleaned,journal_name_cleaned,features_union_titre_journal,bso_classification
10.1103/PhysRevD.96.063001,dark matter dynamical friction versus gravitational wave emission evolution compact star binary,physical review,dark matter dynamical friction versus gravitational wave emission evolution compact star binary physical review,"Physical sciences, Astronomy"
10.1002/joe.21827,network relationship internationalization tunisian high tech smes,global business organizational excellence,network relationship internationalization tunisian high tech smes global business organizational excellence,Social sciences
10.1109/TCNS.2017.2747840,designing virus resistant high performance network game formation approach,ieee transaction control network system,designing virus resistant high performance network game formation approach ieee transaction control network system,Computer and information sciences
10.1108/CG-02-2017-0027,board independence gender diversity ceo compensation,corporate governance international journal business society,board independence gender diversity ceo compensation corporate governance international journal business society,Computer and information sciences
10.1109/INFOCOM.2017.8057026,low latency low loss streaming using network coding caching,ieee infocom ieee conference computer communication,low latency low loss streaming using network coding caching ieee infocom ieee conference computer communication,Computer and information sciences
10.1109/TAP.2017.2755439,ball grid array module integrated shaped lens backhaul fronthaul communication band,ieee transaction antenna propagation,ball grid array module integrated shaped lens backhaul fronthaul communication band ieee transaction antenna propagation,Computer and information sciences
10.1109/TNSM.2017.2759167,nfv based scalable guaranteed bandwidth multicast service software defined isp network,ieee transaction network service management,nfv based scalable guaranteed bandwidth multicast service software defined isp network ieee transaction network service management,Computer and information sciences
10.1109/TBME.2016.2629849,noninvasive personalization cardiac electrophysiology model body surface potential mapping,ieee transaction biomedical engineering,noninvasive personalization cardiac electrophysiology model body surface potential mapping ieee transaction biomedical engineering,Medical research
10.1093/mnras/stx2122,perihelion precession caused solar oblateness variation equatorial ecliptic coordinate system,monthly notice royal astronomical society,perihelion precession caused solar oblateness variation equatorial ecliptic coordinate system monthly notice royal astronomical society,"Earth, Ecology, Energy and applied biology"
10.5978/islsm.17-CR-04,laser platelet rich plasma treat medication related osteonecrosis jaw mronj case report,laser therapy,laser platelet rich plasma treat medication related osteonecrosis jaw mronj case report laser therapy,Medical research
10.1109/WHISPERS.2016.8071694,supervised planetary unmixing optimal transport,workshop hyperspectral image signal processing evolution remote sensing whisper,supervised planetary unmixing optimal transport workshop hyperspectral image signal processing evolution remote sensing whisper,"Earth, Ecology, Energy and applied biology"
10.1007/s00209-017-1934-8,sobolev space adapted schrödinger operator inverse square potential,mathematische zeitschrift,sobolev space adapted schrödinger operator inverse square potential mathematische zeitschrift,Mathematics
10.1109/ICC.2017.7996652,scalable guaranteed bandwidth multicast service software defined isp network,ieee international conference communication icc,scalable guaranteed bandwidth multicast service software defined isp network ieee international conference communication icc,Computer and information sciences
10.1109/ACCESS.2017.2754985,antenna diagnostics characterization using unmanned aerial vehicle,ieee access,antenna diagnostics characterization using unmanned aerial vehicle ieee access,Computer and information sciences
10.1108/IJMPB-10-2016-0080,marketing project project marketing three type organization,international journal managing project business,marketing project project marketing three type organization international journal managing project business,Social sciences
10.1109/TMSCS.2017.2754251,modelling program performance gaussian mixture parametric statistic,ieee transaction multi scale computing system,modelling program performance gaussian mixture parametric statistic ieee transaction multi scale computing system,Computer and information sciences
10.1109/TSP.2017.2698415,adaptive waveform learning framework modeling variability neurophysiological signal,ieee transaction signal processing,adaptive waveform learning framework modeling variability neurophysiological signal ieee transaction signal processing,Computer and information sciences
10.1109/ICC.2017.7997198,optimization network service chain provisioning,ieee international conference communication icc,optimization network service chain provisioning ieee international conference communication icc,Computer and information sciences
10.1109/PRNI.2017.7981511,large brain effective network eeg meg data dmr information,international workshop pattern recognition neuroimaging prni,large brain effective network eeg meg data dmr information international workshop pattern recognition neuroimaging prni,Computer and information sciences
